BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20																																								
RT	Area	RA																																																									
17.111	981676.8	4.443042157	16.291	1981900.7	4.681127999	15.459	8756.9	0.017013691	16.271	643463.5	2.708599786	16.043	398047.2	1.121870215	15.595	3894.4	0.019263582	15.593	38122.7	0.251632854	16.068	68494.7	0.087813891	15.589	20636.3	0.075115502	15.589	2851.2	0.040785103	15.354	6867.5	0.059117665	15.588	5830.3	0.027802265	15.461	1667.7	0.003974167	15.589	25176.9	0.074881732	15.46	4180.7	0.026579655	15.303	1305.2	0.006770594	15.356	204562.9	0.97095827	15.35	107815	0.195621546	15.585	11849.4	0.011706815	16.038	213182	0.853825648
17.241	92366	0.418045972	16.427	22089.3	0.052173573	15.593	125519.8	0.24387113	16.422	9547.3	0.040188472	16.271	675248.8	1.903144944	15.837	43479.3	0.215069602	16.048	724791.3	4.784060507	16.299	2392250.5	3.066993852	16.058	1310177.9	4.769007538	16.105	5660	0.080963693	15.589	4029.4	0.034686381	16.042	245704.8	1.171663549	15.589	23569.5	0.056166652	16.065	1821598.2	5.417840474	15.59	48067.8	0.305600871	15.355	81454.2	0.422535485	15.459	4046.6	0.019207196	15.455	7996.6	0.01450918	16.105	6169043	6.094810518	16.263	383003.1	1.533984435
17.299	185473.9	0.839449763	17.111	8469923.1	20.00543931	16.052	146271.8	0.284189977	17.104	7645892.8	32.18467497	16.423	20393.2	0.057476911	16.053	1367.3	0.006763326	16.272	482654.7	3.185812645	16.429	24199.7	0.031025317	16.274	602053.5	2.191456351	16.285	53377	0.763533403	15.831	2086.4	0.017960407	16.268	380917.1	1.816434523	16.074	2457684.6	5.85671808	16.282	1185148.8	3.524897607	16.045	708190.3	4.502464701	15.46	1060.6	0.005501756	15.588	23801.8	0.112975298	15.584	16589	0.030099391	16.301	2323310.6	2.295354058	16.416	42299.2	0.169414593
17.528	144750.9	0.655138586	17.242	9306895.9	21.98231777	16.192	7548.1	0.014665126	17.274	806683	3.395657098	17.112	9046248.4	25.49626435	16.199	125036.6	0.618491369	16.425	8464.1	0.055868174	17.121	9313219.5	11.94004848	16.423	10697.7	0.038939301	16.42	15166.9	0.21695552	16.051	103141	0.887871148	16.421	43750.2	0.208626427	16.279	874160.5	2.083144275	16.424	5920.2	0.017607999	16.272	767381.4	4.878784227	15.589	23260.1	0.120659434	16.064	1856567.9	8.812203755	16.052	1202808.5	2.182398164	16.427	12888.6	0.012733511	17.102	8064965.8	32.3013887
18.272	32111.7	0.14533667	17.298	2098342.2	4.956155686	16.285	1472143.8	2.860213061	17.512	945373.5	3.979461865	17.178	3277607.7	9.237724708	16.275	4237	0.020958247	16.962	1300795.5	8.586036255	17.284	13352652.6	17.11881905	17.115	9225570.4	33.58079447	16.959	1609308.6	23.02041839	16.303	58524.4	0.503796998	17.112	9131225.7	43.54300082	16.425	11644.8	0.027749822	17.116	9065265.8	26.96212807	16.422	7518.3	0.04779913	16.041	379834.1	1.970351262	16.274	337099.1	1.600041644	16.288	1966576.3	3.568192698	17.115	8431091.6	8.329639745	17.198	396737.6	1.588993152
18.367	46202.9	0.209113053	17.527	1069860.5	2.526944938	16.427	27565.9	0.053557504	17.713	16374.9	0.068928619	17.284	1642510.4	4.629309025	16.428	545209	2.696866843	17.132	2532560.8	16.71643148	17.413	18928533.9	24.26739888	17.18	3717646.6	13.53212007	17.116	1484111.4	21.2295301	16.421	24264.8	0.208879261	17.213	364282.1	1.737109157	17.112	8731968.6	20.80847899	17.262	10831941.8	32.21661763	16.949	1486422.4	9.450234473	16.269	332529.6	1.724963917	16.421	51677	0.245284998	16.421	11126.3	0.020187766	17.225	8251710.6	8.152417248	17.265	658428.1	2.637102564
18.837	391718.2	1.772905784	17.723	8100.1	0.01913194	17.117	8946522.9	17.38210741	18.362	112470.6	0.473434535	17.525	1423111.8	4.010948301	17.086	12907	0.063844251	17.356	397821.7	2.625863588	17.534	19468158.4	24.95922652	17.281	878532.5	3.197831466	17.347	157113.4	2.247434831	17.05	4840475.8	41.6683841	17.355	91072.2	0.434285277	17.293	15961505.2	38.03662849	17.303	2204969.6	6.558072764	17.101	657025.8	4.177175926	16.421	41335.2	0.2144222	17.109	8455902	40.13595805	17.107	8029871.2	14.56954799	17.323	18020329.1	17.80348935	17.503	707442.1	2.833410931
19.009	144479.4	0.653909785	18.264	3747.6	0.008851602	17.294	15222287.4	29.57522577	18.804	1016704.9	4.279724763	17.72	19163.6	0.054011364	17.188	6463876.4	31.97345227	17.495	343617.3	2.268081797	17.752	2826.2	0.00362334	17.516	814958.7	2.966424776	17.492	284159.5	4.064770783	17.123	1595981.5	13.73872588	17.512	898568.7	4.284898756	17.531	1081578.2	2.577425353	17.536	1490542.7	4.433207371	17.261	562050.6	3.573351664	17.07	5744408.8	29.79854396	17.193	233560.5	1.108595444	17.306	21964804.4	39.85335056	17.555	41270027.6	40.77342276	17.705	5505.8	0.022051549
19.121	9078.1	0.041087231	18.367	203066.3	0.479630156	17.345	829247.7	1.611136835	18.979	387203.4	1.629896717	18.365	197225.5	0.555867279	17.27	354213.8	1.752112405	17.706	10747.1	0.070937354	18	3992.9	0.005119113	17.717	18040.2	0.065665777	17.702	2611	0.037349153	17.351	82907.2	0.713692041	17.713	16302.4	0.077739335	17.727	15419.9	0.036745971	17.727	1967.1	0.005850595	17.497	649241.9	4.127688189	17.18	355020.1	1.841631128	17.275	808813.7	3.839036064	17.38	922744.8	1.674245366	18.012	2602.7	0.002571382	18.009	2454.8	0.009831839
19.27	6041.1	0.027341852	18.835	1482779.6	3.502234548	17.542	1580530.6	3.070796661	19.113	16161	0.068028227	18.823	1354825.8	3.81848864	17.357	405548.7	2.006039596	18.014	9176.2	0.060568464	18.384	126060.7	0.1616166	18.194	2711.9	0.009871233	18.358	31568.9	0.451578576	17.495	210503.6	1.812083196	18.362	100220.6	0.477910175	18.198	7528.6	0.017940824	18.208	5165.2	0.01536246	17.704	11853	0.075357872	17.269	668353.2	3.467015129	17.501	427202.6	2.027718111	17.527	924068	1.676646205	18.209	18068.5	0.017851081	18.167	1429.1	0.005723758
