BBIM01	BBIM02	BBIM03	BBIM04	BBIM05	BBIM06	BBIM07	BBIM08	BBIM09	BBIM10	BBIM11	BBIM12	BBIM13	BBIM14	BBIM15	BBIM16	BBIM17	BBIM18	BBIM19	BBIM20	BBIM21	BBIM22	BBIM23	BBIM24																																																
RT	Area	RA																																																																					
18.765	236360.7	0.417	17.22	56741.3	0.0661	17.594	76927871.7	45.0249	17.486	34571242	28.7404	17.545	2233884.4	2.2175	17.498	2008552.2	4.4544	17.616	9449964.6	6.0609	17.45	23667967.8	37.9304	18.383	134568.3	0.1339	17.229	5091.9	0.0053	17.22	22240.7	0.0264	17.501	37420033.4	33.7974	17.472	28841428.8	36.3579	17.153	8105.3	0.0175	17.197	4107.5	0.0062	17.539	50573944.1	40.007	17.445	21468859.8	29.4159	17.698	8784721.9	3.9643	17.444	20628939.1	25.9126	17.009	9220.7	0.0346	17.163	34723.3	0.064	17.154	386128.2	1.9582	17.392	10497212.7	44.3256	17.024	3401.6	0.0101
18.973	23184	0.0409	17.474	28440262.2	33.1465	17.683	15606441.4	9.1343	17.56	4018981.4	3.3411	18.16	15037729.7	14.9272	18.078	3877915.9	8.6002	18.171	15293138.1	9.8086	17.534	3944683	6.3218	18.753	101500.6	0.101	17.482	32131012.8	33.7089	17.473	30289847	36.0176	17.577	4943673.6	4.4651	17.551	3924594.5	4.9474	17.428	17526506.4	37.8151	17.463	25862955	38.9857	17.626	10017247.8	7.9242	17.512	1239367.9	1.6981	18.201	15378737.8	6.9399	17.518	1943067.7	2.4407	17.141	139370.5	0.5228	17.43	16286302.8	30.003	17.376	7722083.5	39.1619	17.46	34742	0.1467	17.158	89730.6	0.2671
19.126	855108.4	1.5085	17.573	8950966.2	10.4322	18.141	7113888.6	4.1637	18.135	9761859	8.1154	18.379	49343.9	0.049	18.363	58934	0.1307	18.387	61839.2	0.0397	18.076	3107523.6	4.9801	18.982	45682.1	0.0455	17.564	5387861.9	5.6524	17.546	3022603.1	3.5942	18.145	10663001.3	9.6307	18.108	5787169.3	7.2954	17.51	2432360.8	5.248	17.544	3814590.9	5.7501	18.116	5072451.2	4.0126	18.137	10476591.9	14.3547	18.411	299515.9	0.1352	18.124	8241646.7	10.3526	17.388	9026812.2	33.8583	17.539	6828492	12.5796	17.457	363642.5	1.8442	17.503	107670.6	0.4547	17.416	14598980.2	43.4573
19.265	6201.5	0.0109	18.092	4249309.8	4.9525	18.391	312060.4	0.1826	18.379	252676.1	0.2101	18.762	41627.7	0.0413	18.777	5257.7	0.0117	18.791	198427.8	0.1273	18.367	49140.2	0.0788	19.13	764847.2	0.7613	18.134	9379580.8	9.8402	18.124	8193800.6	9.7432	18.386	145489.6	0.1314	18.374	105997.9	0.1336	18.071	2696289.1	5.8175	18.107	5670746	8.5481	18.38	47130.4	0.0373	18.377	93329.9	0.1279	18.813	41781.7	0.0189	18.376	112496.2	0.1413	17.489	2583947.6	9.692	18.047	888117.3	1.6361	17.498	81244.9	0.412	18.371	117237.7	0.495	17.503	2454535.1	7.3065
19.4	15671.9	0.0276	18.377	121204.4	0.1413	18.801	553770.9	0.3241	18.778	91816.2	0.0763	18.916	3769.5	0.0037	18.91	1931.3	0.0043	18.926	4093.1	0.0026	18.743	18599.1	0.0298	19.27	44064	0.0439	18.376	82033.5	0.0861	18.374	148768	0.1769	18.769	154588.4	0.1396	18.76	99712.1	0.1257	18.367	30392.3	0.0656	18.374	36068.3	0.0544	18.781	96937.8	0.0767	18.762	131711.9	0.1805	18.946	16266.3	0.0073	18.754	50922.9	0.064	18.044	187153.8	0.702	18.372	55657.7	0.1025	18.37	63276.7	0.3209	18.836	1683561.3	7.109	18.059	101192.7	0.3012
19.76	5154	0.0091	18.765	234951.3	0.2738	18.93	26611	0.0156	18.918	7625.4	0.0063	18.98	32833.2	0.0326	18.97	11705.7	0.026	18.985	47764.2	0.0306	18.914	3007.6	0.0048	19.337	11458.4	0.0114	18.757	34348.1	0.036	18.756	143808.5	0.171	18.933	8155.7	0.0074	18.921	5511.8	0.0069	18.741	38622.6	0.0833	18.748	46883.7	0.0707	18.925	6427.4	0.0051	18.921	2884.4	0.004	19.002	64820.4	0.0293	18.921	2797.5	0.0035	18.369	43639.4	0.1637	18.753	100467.1	0.1851	18.81	1025768.4	5.2021	18.917	3622.3	0.0153	18.367	55404	0.1649
19.823	5716	0.0101	18.983	170221.5	0.1984	18.987	181017.1	0.1059	18.981	26657.7	0.0222	19.142	1746276.1	1.7334	19.117	514266.7	1.1405	19.14	1395287.3	0.8949	18.975	25747.2	0.0413	19.404	14502.6	0.0144	18.921	5478.8	0.0057	18.978	35222.7	0.0419	18.989	100139.8	0.0904	18.98	31360.5	0.0395	18.914	2035.1	0.0044	18.92	2772.3	0.0042	18.986	57154	0.0452	18.978	42628	0.0584	19.152	1297232	0.5854	18.978	29983.3	0.0377	18.79	652287.5	2.4466	18.975	119875.7	0.2208	18.915	1173.9	0.006	18.985	191858.4	0.8101	18.774	423120.6	1.2595
19.99	8363.4	0.0148	19.129	722418.8	0.842	19.152	2129433.3	1.2463	19.124	646453.3	0.5374	19.221	99892.9	0.0992	19.263	16265.4	0.0361	19.199	187320.1	0.1201	19.128	1013541.3	1.6243	19.518	13643.9	0.0136	18.98	20471	0.0215	19.12	407107.5	0.4841	19.135	792816.9	0.7161	19.124	497374.1	0.627	18.975	23854.1	0.0515	18.982	30641.7	0.0462	19.145	1536919.7	1.2158	19.125	495016.9	0.6783	19.22	439766.3	0.1985	19.124	438618.9	0.551	18.974	78787.3	0.2955	19.131	937227.9	1.7266	18.978	179224.5	0.9089	19.126	513094	2.1666	18.919	1330.7	0.004
20.192	18642967.8	32.8871	19.207	442450.8	0.5157	19.202	266997.7	0.1563	19.268	142141.9	0.1182	19.259	105068.3	0.1043	19.509	2175.4	0.0048	19.268	109877.1	0.0705	19.264	65217.5	0.1045	19.752	7100.4	0.0071	19.13	871307.8	0.9141	19.266	36467.5	0.0434	19.207	242161.1	0.2187	19.199	46074.4	0.0581	19.122	541401.6	1.1681	19.129	738997.4	1.114	19.268	105910.1	0.0838	19.199	30336.2	0.0416	19.286	224418.8	0.1013	19.27	98686.1	0.124	19.117	241748.7	0.9068	19.268	33028	0.0608	19.12	429381.5	2.1776	19.179	85634	0.3616	18.976	151893.5	0.4521
20.756	2448	0.0043	19.273	66176.7	0.0771	19.274	129911.3	0.076	19.401	20896.9	0.0174	19.401	23213.3	0.023	19.747	3913.4	0.0087	19.372	20596.2	0.0132	19.399	16989.6	0.0272	19.826	3462.7	0.0034	19.268	99372.2	0.1043	19.339	7186.7	0.0085	19.28	66330.7	0.0599	19.272	51780.1	0.0653	19.195	1347.1	0.0029	19.268	7451.5	0.0112	19.376	16168.5	0.0128	19.269	85203.4	0.1167	19.385	22423.9	0.0101	19.405	23100.1	0.029	19.266	4659.4	0.0175	19.37	15817.4	0.0291	19.265	1628.4	0.0083	19.267	16436	0.0694	19.123	490265.7	1.4594
20.96	32554.4	0.0574	19.374	40473.8	0.0472	19.378	75461.1	0.0442	19.519	17684	0.0147	19.516	5134.7	0.0051	19.818	2010	0.0045	19.406	30704.3	0.0197	19.513	4802.9	0.0077	19.923	18750.7	0.0187	19.366	10106.5	0.0106	19.364	5629.8	0.0067	19.379	14441.2	0.013	19.369	5365.2	0.0068	19.267	5098.2	0.011	19.37	7792.1	0.0117	19.409	23349.3	0.0185	19.371	27172.3	0.0372	19.42	36499.3	0.0165	19.521	14551.4	0.0183	19.368	8321.5	0.0312	19.401	15550.6	0.0286	19.369	3147	0.016	19.371	13422.1	0.0567	19.2	1668.2	0.005
21.03	8998.1	0.0159	19.521	7204.3	0.0084	19.522	19107	0.0112	19.767	11007.1	0.0092	19.758	3220.4	0.0032	19.917	10427.4	0.0231	19.521	10454.5	0.0067	19.757	5133.9	0.0082	20.176	16175054.7	16.1006	19.404	19516.2	0.0205	19.397	10806.2	0.0128	19.406	22240.6	0.0201	19.404	21980.5	0.0277	19.398	2422	0.0052	19.404	10407.3	0.0157	19.523	8364.5	0.0066	19.76	8129.9	0.0111	19.533	27357.3	0.0123	19.765	7169.1	0.009	19.398	3018.3	0.0113	19.517	3091.9	0.0057	19.399	7601.2	0.0385	19.752	2727.3	0.0115	19.279	70465	0.2098
