BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11																						
RT	Area	RA																														
20.976	81760	0.09	20.03	431298.7	1.29	20.213	4496388.3	7.64	20.775	123654.5	0.14	20.194	2804089.2	5.41	20.2	3627969.3	7.23	20.188	2257071	3.86	20.192	2923351.2	7.27	20.17	1374800	3.7	20.202	3880524	8.26	20.71	10128.2	0.02
21.412	335688.5	0.38	20.094	1131294.5	3.38	20.77	106686.1	0.18	20.929	41761.6	0.05	20.767	63952.4	0.12	20.766	70663	0.14	20.709	14116	0.02	20.705	11437.6	0.03	20.699	9177.9	0.02	20.709	12457.1	0.03	20.769	30254.3	0.05
21.61	2300339.9	2.64	20.165	1053789.6	3.14	20.925	30809.7	0.05	20.976	81760	0.09	20.922	28688.4	0.06	20.92	24362.2	0.05	20.767	25237.3	0.04	20.765	45721.3	0.11	20.762	22560.2	0.06	20.767	40033.2	0.09	20.924	38508.5	0.06
21.808	2053630.6	2.36	20.691	38458.6	0.11	20.973	49663.5	0.08	21.412	335688.5	0.38	20.972	30763.2	0.06	20.971	39050.3	0.08	20.923	33512.5	0.06	20.919	27146.2	0.07	20.916	16629.2	0.04	20.92	19224.2	0.04	20.973	38225.8	0.06
22.352	66749	0.08	20.73	39819	0.12	21.41	302396	0.51	21.61	2300339.9	2.58	21.408	246275	0.48	21.407	232804.6	0.46	20.972	27699.3	0.05	20.97	33692.3	0.08	20.969	16419.2	0.04	20.971	51342.1	0.11	21.408	178394.7	0.27
22.534	48926.3	0.06	20.918	78340.5	0.23	21.603	1821670.7	3.09	21.808	2053630.6	2.3	21.55	260879.9	0.5	21.55	360248.8	0.72	21.407	164687.8	0.28	21.403	142807.7	0.36	21.401	64625.5	0.17	21.406	197419.9	0.42	21.548	131733.9	0.2
23.056	216350.8	0.25	20.968	16690.4	0.05	21.798	1406985.8	2.39	22.352	66749	0.07	21.591	846666	1.63	21.592	916091.1	1.83	21.584	531263.5	0.91	21.587	803635.4	2	21.58	404661.8	1.09	21.591	1008881.8	2.15	21.587	582507.5	0.89
23.115	615341	0.71	21.401	35074.3	0.1	22.351	39306.4	0.07	22.534	48926.3	0.05	21.787	905003.3	1.75	21.79	1051654.8	2.1	21.784	731024.7	1.25	21.783	769638.7	1.91	21.777	472383	1.27	21.796	1411989.5	3	21.793	1119348.1	1.7
23.292	909900.6	1.04	21.58	405757.5	1.21	22.533	43041.4	0.07	23.056	216350.8	0.24	22.349	66382.2	0.13	22.349	57230.6	0.11	22.349	30417.9	0.05	22.347	27332.8	0.07	22.345	28012	0.08	22.349	64185.8	0.14	22.35	34111	0.05
23.827	2329071.3	2.67	21.777	506833.6	1.51	23.055	227393.9	0.39	23.115	615341	0.69	22.533	28560.2	0.06	22.532	32268.3	0.06	22.533	25290.1	0.04	22.531	20842.5	0.05	22.532	15156.7	0.04	22.532	45454.2	0.1	22.534	38109.7	0.06
24.464	100636.2	0.12	22.348	18642.6	0.06	23.113	554945.9	0.94	23.292	909900.6	1.02	23.054	211473.8	0.41	23.054	267515.8	0.53	23.052	59736.5	0.1	23.049	47364.6	0.12	23.049	23691.7	0.06	23.051	92494.6	0.2	23.054	103776.3	0.16
24.531	365204.9	0.42	22.53	15570.6	0.05	23.291	891056	1.51	23.827	2329071.3	2.61	23.11	418427.6	0.81	23.108	368309.5	0.73	23.106	203125.8	0.35	23.103	152613.5	0.38	23.104	162127	0.44	23.109	408909.7	0.87	23.109	299318.3	0.46
24.681	423391.6	0.49	23.05	16479	0.05	23.813	1468432.9	2.49	24.464	100636.2	0.11	23.285	632262.8	1.22	23.286	680615.6	1.36	23.156	43181	0.07	23.153	45941.6	0.11	23.157	43212.3	0.12	23.289	840578.2	1.79	23.291	820093.5	1.25
25.161	1439333.2	1.65	23.106	243799.2	0.73	24.465	135922.3	0.23	24.531	365204.9	0.41	23.814	1517543.5	2.93	23.819	1891517.1	3.77	23.283	475015	0.81	23.278	373097.6	0.93	23.277	320429	0.86	23.811	1333906.8	2.84	23.812	1237009.3	1.88
25.437	107442.1	0.12	23.156	33066.8	0.1	24.532	458067.8	0.78	24.681	423391.6	0.47	24.464	107778.9	0.21	24.463	138366.9	0.28	23.811	1269192.5	2.17	23.806	1111517.8	2.76	23.8	761227.8	2.05	24.463	66057.1	0.14	24.464	66587.5	0.1
25.674	160064.7	0.18	23.276	260366.8	0.78	24.678	320239.1	0.54	25.063	4363.4	0	24.53	329686.8	0.64	24.529	293339.3	0.58	24.463	39550.1	0.07	24.459	28035.3	0.07	24.461	14287.3	0.04	24.53	345559.8	0.74	24.53	257019.2	0.39
25.791	45680	0.05	23.792	427915.1	1.28	25.157	1430638.2	2.43	25.161	1439333.2	1.61	24.674	175692	0.34	24.676	268536.4	0.54	24.527	195680.6	0.33	24.524	121387.5	0.3	24.525	137600.6	0.37	24.676	266004.9	0.57	24.677	251451.3	0.38
25.852	171016	0.2	24.462	20067.8	0.06	25.435	129909.5	0.22	25.437	107442.1	0.12	25.057	11912.5	0.02	25.06	17110.9	0.03	24.674	141896.8	0.24	24.673	173843	0.43	24.672	104957.3	0.28	25.151	872766.7	1.86	25.15	735516.7	1.12
26.402	171400.7	0.2	24.527	236836.5	0.71	25.672	123870	0.21	25.674	160064.7	0.18	25.156	1155635.9	2.23	25.152	942976.4	1.88	25.154	996641.2	1.7	25.057	5415.7	0.01	25.144	562281.1	1.51	25.434	41878.3	0.09	25.436	68397.1	0.1
26.686	62918.2	0.07	24.67	90372.4	0.27	25.793	58563.3	0.1	25.791	45680	0.05	25.435	75428	0.15	25.435	131384.8	0.26	25.436	62102.5	0.11	25.147	757485.1	1.88	25.433	31588.5	0.09	25.671	96755.3	0.21	25.674	132354.6	0.2
26.913	69946.6	0.08	25.082	41214.8	0.12	25.852	184640.9	0.31	25.852	171016	0.19	25.672	129279.2	0.25	25.672	123596.8	0.25	25.673	112820.9	0.19	25.434	79474.7	0.2	25.671	62306.6	0.17	25.789	32169.5	0.07	25.794	35769.6	0.05
27.45	76836.2	0.09	25.141	579456.2	1.73	26.401	148114.5	0.25	26.402	171400.7	0.19	25.794	41435.8	0.08	25.792	50757.5	0.1	25.794	17701.3	0.03	25.671	78643.4	0.2	25.793	6269.7	0.02	25.851	162422.4	0.35	25.851	112576.6	0.17
